data,value
唐山港
连云港
普洛药业
汉缆股份
海立美达
特锐德
华仁药业
东软载波
康欣新材
云天化
紫江企业
江泉实业
金鹰股份
红星发展
六国化工
科力远
中国动力
科达洁能
中天科技
厦门钨业
春兰股份
西部矿业
骆驼股份
石大胜华
德赛电池
万向钱潮
新大洲Ａ
斯太尔
西藏矿业
*ST钱江
东方钽业
安泰科技
佛塑科技
众和股份
国轩高科
大港股份
万丰奥威
红 宝 丽
楚江新材
江特电机
成飞集成
融捷股份
海 利 得
威华股份
格林美
新纶科技
南洋科技
多氟多
必康股份
尤夫股份
百川股份
赣锋锂业
天齐锂业
通鼎互联
雅化集团
圣阳股份
德尔未来
道明光学
猛狮科技
天赐材料
金莱特
雄韬股份
天际股份
新宙邦
南都电源
奥克股份
坚瑞沃能
科泰电源
欣旺达
富临精工
鹏辉能源
双杰电气
先导智能
赢合科技
海泰发展
金证股份
大智慧
生 意 宝
卫 士 通
欧浦智网
同花顺
腾邦国际
上海钢联
拓普集团
一汽轿车
中鼎股份
广东鸿图
四维图新
众业达
江海股份
天汽模
安洁科技
鸿特精密
永利股份
宜安科技
永贵电器
林海股份
国电南自
华光股份
中航高科
中材国际
红 太 阳
中核科技
智慧农业
美年健康
海陆重工
华昌化工
商赢环球
方大炭素
东材科技
吉林化纤
中钢国际
精功科技
亿帆医药
博云新材
华伍股份
亚宝药业
天润乳业
三元股份
江南高纤
通策医疗
健民集团
永新股份
群兴玩具
沃森生物
戴维医疗
博晖创新
巨化股份
中航电子
宝光股份
华鲁恒升
中金黄金
国药股份
山煤国际
广东榕泰
银座股份
长江电力
中南传媒
中国电建
中国国旅
中国重工
金 融 街
燕京啤酒
中色股份
盐湖股份
华联股份
锡业股份
西山煤电
科华生物
宁波联合
宋都股份
瑞茂通
生益科技
亿阳信通
美克家居
青海春天
龙净环保
华胜天成
精工钢构
天地科技
光明乳业
玉龙股份
四方股份
深圳燃气
江南嘉捷
九牧王
广电电气
旗滨集团
正泰电器
京运通
华贸物流
隆鑫通用
广州浪奇
万泽股份
烽火电子
海南海药
仁和药业
