data,value
上海贝岭
安彩高科
华微电子
士兰微
凯盛科技
法拉电子
长电科技
南 玻Ａ
深天马Ａ
华映科技
风华高科
华东科技
超声电子
国光电器
得润电子
横店东磁
莱宝高科
康强电子
通富微电
华天科技
合力泰
水晶光电
*ST宇顺
汉王科技
新亚制程
胜利精密
欧菲光
金亚科技
金龙机电
劲胜精密
长信科技
星星科技
汇冠股份
白云机场
中原高速
上海电力
山东钢铁
华电国际
南方航空
四川路桥
浙江广厦
黄山旅游
中国医药
象屿股份
古越龙山
皖维高新
南京高科
葛洲坝
银鸽投资
浙江富润
凤凰光学
人福医药
同济堂
哈高科
广州发展
明星电力
青山纸业
重庆路桥
美尔雅
亚盛集团
诺德股份
浙江东日
三峡水利
西宁特钢
浙江东方
*ST郑煤
宏图高科
铁龙物流
弘业股份
太极集团
东湖高新
乐凯胶片
当代明诚
兴发集团
航天机电
建发股份
华升股份
中体产业
新日恒力
上海建工
美都能源
雅戈尔
华资实业
中牧股份
伊力特
江苏吴中
新湖中宝
罗顿发展
江苏阳光
太龙药业
升华拜克
赤天化
城市传媒
凌钢股份
桂冠电力
海南椰岛
时代万恒
ST成城
延长化建
两面针
中恒集团
鑫科材料
凯乐科技
阳光照明
北京城建
赣粤高速
嘉化能源
东方创业
中央商场
南钢股份
羚锐制药
江苏舜天
大恒科技
西水股份
远达环保
三峡新材
维维股份
标准股份
恒顺醋业
商业城
桂东电力
洪都航空
西藏天路
大东方
兰太实业
宏达股份
国机汽车
澳柯玛
*ST油工
山东高速
浙江龙盛
敦煌种业
联创光电
宁波韵升
首开股份
健康元
广东明珠
*ST金瑞
盘江股份
海澜之家
抚顺特钢
小商品城
瑞贝卡
宁夏建材
涪陵电力
好当家
百利电气
风神股份
千金药业
福能股份
亨通光电
天药股份
华丽家族
西昌电力
方大特钢
黑牡丹
交大昂立
栖霞建设
亿晶光电
时代出版
大西洋
恒生电子
信雅达
卧龙电气
龙溪股份
大连圣亚
中孚实业
北大荒
熊猫金控
绿地控股
大众交通
老凤祥
华鑫股份
华谊集团
大众公用
新黄浦
浦东金桥
号百控股
申能股份
乐山电力
外高桥
城投控股
锦江投资
飞乐音响
游久游戏
申华控股
豫园商城
尖峰集团
中华企业
百川能源
南京新百
中船防务
上海三毛
亚通股份
绿庭投资
物产中大
南京医药
凤凰股份
ST云维
华电能源
苏州高新
中粮糖业
兰州民百
辽宁成大
一汽富维
华银电力
大连控股
江中药业
锦江股份
厦门国贸
长江传媒
综艺股份
西藏城投
新潮能源
友好集团
鲁信创投
新华百货
中储股份
轻纺城
保税科技
天津磁卡
福建水泥
悦达投资
东方集团
中路股份
世茂股份
兰生股份
百联股份
茂业商业
上海九百
四川长虹
海欣股份
航天长峰
宁波中百
内蒙华电
哈投股份
百大集团
智慧能源
中炬高新
梅花生物
洛阳玻璃
亚泰集团
广泽股份
杉杉股份
新疆众和
大晟文化
览海投资
汇鸿集团
金陵饭店
文峰股份
一拖股份
四川成渝
龙江交通
君正集团
百隆东方
风范股份
际华集团
力帆股份
亚星锚链
新集能源
出版传媒
和邦生物
深科技
深圳能源
富奥股份
中粮地产
华联控股
中集集团
中金岭南
TCL 集团
丰原药业
*ST川化
常山股份
国际实业
东方市场
民生控股
合肥百货
通程控股
兴业矿业
粤高速Ａ
金路集团
渝 开 发
国际医学
大冷股份
穗恒运Ａ
万 家 乐
中天金融
皖能电力
中原环保
创元科技
沙隆达Ａ
昆百大Ａ
供销大集
苏常柴Ａ
黔轮胎Ａ
平潭发展
建投能源
盛达矿业
绵石投资
焦作万方
京汉股份
新华联
吉林敖东
远大控股
天茂集团
高新发展
三木集团
泰达股份
永安林业
经纬纺机
荣丰控股
东方电子
中山公用
华讯方舟
宝新能源
恒逸石化
浙江震元
锦龙股份
丰乐种业
湖南发展
振华科技
罗 牛 山
南风化工
长城信息
漳州发展
*ST三维
新华制药
中百集团
通化金马
美达股份
武汉中商
万年青
凯撒旅游
中水渔业
陕西金叶
德展健康
方大化工
京山轻机
东莞控股
中信国安
华茂股份
顺鑫农业
新 希 望
云南铜业
中广核技
湖北能源
法 尔 胜
津滨发展
现代投资
新洋丰
华北高速
嘉凯城
金陵药业
南方汇通
一汽夏利
兰州黄河
中粮生化
*ST神火
四川双马
华西股份
凯迪生态
南天信息
华东医药
高升控股
九 芝 堂
闽东电力
中国中期
新 大 陆
隆平高科
宗申动力
凯恩股份
中捷资源
海特高新
华孚色纺
远光软件
沙钢股份
新野纺织
新 海 宜
金智科技
江苏国泰
国脉科技
青岛金王
浔兴股份
沧州明珠
兴化股份
威海广泰
三变科技
紫鑫药业
韵达股份
新光圆成
三特索道
莱茵生物
御银股份
九鼎新材
海亮股份
大连重工
鸿博股份
恒邦股份
万马股份
友阿股份
奇正藏药
中利集团
焦点科技
华英农业
雅百特
永太科技
富临运业
天原集团
信邦制药
梦洁股份
康盛股份
誉衡药业
巨星科技
壹桥股份
雏鹰农牧
荣盛石化
辉丰股份
山东矿机
东方铁塔
唐人神
好想你
亚夏汽车
克明面业
兴业科技
美盛文化
大禹节水
东方财富
瑞普生物
德威新材
金卡智能
大名城
锦州港
海南航空
开开实业
鄂尔多斯
振华重工
海航创新
云赛智联
市北高新
中毅达
神奇制药
鹏起科技
国新能源
氯碱化工
海立股份
陆家嘴
上海凤凰
*ST上普
湖南天雁
天海投资
东方通信
华新水泥
耀皮玻璃
上海物贸
上海机电
上柴股份
上工申贝
丹化科技
宝信软件
上海临港
深物业A
深康佳Ａ
深中华A
神州长城
深深宝Ａ
深华发Ａ
深赤湾Ａ
特 力Ａ
飞亚达Ａ
国药一致
深深房Ａ
深南电A
深纺织Ａ
方大集团
皇庭国际
深 赛 格
东旭光电
小天鹅Ａ
晨鸣纸业
*ST珠江
美菱电器
粤电力Ａ
佛山照明
江铃汽车
威孚高科
古井贡酒
*ST东海A
长安汽车
京东方Ａ
鲁 泰Ａ
本钢板材
张 裕Ａ
无锡银行
华安证券
江苏银行
杭州银行
广西广电
中国电影
贵广网络
华钰矿业
小康股份
常熟银行
三角轮胎
上海银行
通用股份
上海电影
中国核建
新华文轩
海天精工
南方传媒
玲珑轮胎
贵阳银行
花王股份
新宏泰
千禾味业
赛福天
天鹅股份
安德利
三维股份
如通股份
永吉股份
国检集团
振华股份
海汽集团
宏盛股份
森特股份
汇嘉时代
上海沪工
上海亚虹
汇顶科技
网达软件
快克股份
电魂网络
井神股份
梦百合
湘油泵
超讯通信
吴江银行
宏辉果蔬
四方冷链
东方时尚
亚振家居
新天然气
信捷电气
鼎信通讯
欧普照明
司太立
多伦科技
海兴电力
中通国脉
长久物流
汇金通
苏利股份
天创时尚
徕木股份
安图生物
苏州科达
三祥新材
五洲新春
德宏股份
家家悦
塞力斯
朗迪集团
博迈科
三棵树
泰晶科技
来伊份
乾景园林
威龙股份
康普顿
顾家家居
神力股份
嘉澳环保
百合花
正平股份
步长制药
能科股份
白云电器
飞科电器
武进不锈
城地股份
新华网
通灵珠宝
合诚股份
金徽酒
兴业股份
哈森股份
百利科技
国泰集团
兆易创新
康德莱
麦迪科技
招商蛇口
久远银海
高科石化
华源控股
鹭燕医药
建艺集团
瑞尔特
坚朗五金
通宇通讯
东音股份
永和智控
世嘉科技
第一创业
帝王洁具
环球印务
天顺股份
微光股份
洪汇新材
吉宏股份
丰元股份
华锋股份
江阴银行
苏州恒久
红墙股份
山东赫达
亚泰国际
创新股份
路畅科技
崇达技术
和科达
黄山胶囊
富森美
东方中科
桂发祥
凯莱英
中装建设
凯中精密
纳尔股份
易明医药
高争民爆
贝肯能源
星网宇达
名雕股份
裕同科技
比音勒芬
景嘉微
蓝海华腾
华自科技
通合科技
盛天网络
高澜股份
启迪设计
海顺新材
新易盛
昊志机电
川金诺
名家汇
苏奥传感
维宏股份
新美星
金冠电气
雪榕生物
中亚股份
恒泰实达
三德科技
久之洋
海波重科
盛讯达
新光药业
科大国创
爱司凯
世名科技
辰安科技
博思软件
中潜股份
华舟应急
